symbol;name;short_name;sector;industry
SOL;Emeren Group Ltd American Depositary Shares each representing 10 shares;Emeren;Technology;Semiconductors
SOLO;Electrameccanica Vehicles Corp. Ltd. Common Stock;Electrameccanica Vehicles;Consumer Discretionary;Auto Parts:O.E.M.
SOLOW;Electrameccanica Vehicles Corp. Ltd. Warrants;Electrameccanica Vehicles Warrants;Consumer Discretionary;Auto Parts:O.E.M.
SON;Sonoco Products Company Common Stock;Sonoco Products;Industrials;Containers/Packaging
SOND;Sonder Holdings Inc. Class A Common Stock;Sonder Holdings;;
SONDW;Sonder Holdings Inc. Warrants;Sonder Holdings Warrants;;
SONM;Sonim Technologies Inc. Common Stock;Sonim Technologies;Telecommunications;Telecommunications Equipment
SONN;Sonnet BioTherapeutics Holdings Inc. Common Stock;Sonnet BioTherapeutics;Health Care;Biotechnology: Commercial Physical & Biological Resarch
SONO;Sonos Inc. Common Stock;Sonos;Consumer Discretionary;Consumer Electronics/Video Chains
SONX;Sonendo Inc. Common Stock;Sonendo;Health Care;Medical/Dental Instruments
SONY;Sony Group Corporation American Depositary Shares ;Sony;Consumer Staples;Consumer Electronics/Appliances
SOPA;Society Pass Incorporated Common Stock;Society Pass;Technology;EDP Services
SOPH;SOPHiA GENETICS SA Ordinary Shares;SOPHiA GENETICS;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
SOR;Source Capital Inc. Common Stock;Source Capital;Finance;Investment Managers
SOS;SOS Limited American Depositary Shares;SOS Limited;Finance;Finance: Consumer Services
SOTK;Sono-Tek Corporation Common Stock;Sono-Tek;Industrials;Industrial Machinery/Components
SOUN;SoundHound AI Inc Class A Common Stock;SoundHound AI;Technology;EDP Services
SOUNW;SoundHound AI Inc. Warrant;SoundHound AI;Technology;EDP Services
SOVO;Sovos Brands Inc. Common Stock;Sovos Brands;Consumer Discretionary;Specialty Foods
SP;SP Plus Corporation Common Stock;SP Plus;Consumer Discretionary;Other Consumer Services
SPB;Spectrum Brands Holdings Inc. Common Stock;Spectrum Brands;;
SPCB;SuperCom Ltd. Ordinary Shares (Israel);SuperCom;Technology;Semiconductors
SPCE;Virgin Galactic Holdings Inc. Common Stock;Virgin Galactic;Industrials;Consumer Electronics/Appliances
SPCM;Sound Point Acquisition Corp I Ltd Class A Ordinary Share;Sound Point Acquisition;Finance;Blank Checks
SPCMW;Sound Point Acquisition Corp I Ltd Warrant;Sound Point Acquisition;Finance;Blank Checks
SPE;Special Opportunities Fund Inc Common Stock;Special Opportunities Fund;Finance;Finance/Investors Services
SPFI;South Plains Financial Inc. Common Stock;South Plains Financial;Finance;Major Banks
SPG;Simon Property Group Inc. Common Stock;Simon Property;Real Estate;Real Estate Investment Trusts
SPGI;S&P Global Inc. Common Stock;S&P Global;Finance;Advertising
SPH;Suburban Propane Partners L.P. Common Stock;Suburban Propane;Utilities;Other Specialty Stores
SPI;SPI Energy Co. Ltd. Ordinary Shares;SPI Energy;Technology;Semiconductors
SPIR;Spire Global Inc. Class A Common Stock;Spire Global;Finance;Diversified Commercial Services
SPLK;Splunk Inc. Common Stock;Splunk;Technology;Computer Software: Prepackaged Software
SPLP;Steel Partners Holdings LP LTD PARTNERSHIP UNIT;Steel Partners Holdings;Industrials;Consumer Electronics/Appliances
SPNS;Sapiens International Corporation N.V. Common Shares (Cayman Islands);Sapiens International;Technology;Computer Software: Prepackaged Software
SPNT;SiriusPoint Ltd. Common Shares;SiriusPoint;Finance;Property-Casualty Insurers
SPOK;Spok Holdings Inc. Common Stock;Spok Holdings;Technology;Retail: Computer Software & Peripheral Equipment
SPOT;Spotify Technology S.A. Ordinary Shares;Spotify;Consumer Discretionary;Broadcasting
